# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 133K of event 'cycles:k'
# Event count (approx.): 157463091563
#
# Overhead  Symbol                                    IPC   [IPC Coverage]
# ........  ........................................  ....................
#
     0.00%  [k] 0x0000000000003dc8                    -      -            
     0.00%  [k] 0x0000000000003b24                    -      -            
     0.00%  [k] 0x00000000000033e0                    -      -            
     0.00%  [k] 0x000000000000137c                    -      -            
     0.00%  [k] 0x0000000000003a9c                    -      -            
     0.00%  [k] 0x00000000000036a8                    -      -            
     0.00%  [k] 0x0000000000003b90                    -      -            
     0.00%  [k] 0x0000000000003e1c                    -      -            
     0.00%  [k] 0x0000000000003ec8                    -      -            
     0.00%  [k] 0x0000000000003404                    -      -            
     0.00%  [k] 0x0000000000003ebc                    -      -            
     0.00%  [k] 0x0000000000003510                    -      -            
     0.00%  [k] 0x0000000000003f24                    -      -            
     0.00%  [k] 0x0000000000003418                    -      -            
     0.00%  [k] 0x00000000000033d4                    -      -            
     0.00%  [k] 0x000000000000364c                    -      -            
     0.00%  [k] 0x0000000000005a00                    -      -            
     0.00%  [k] find_attach                           -      -            
     0.00%  [k] sched_exec                            -      -            
     0.00%  [k] __tlb_remove_folio_pages_size.isra.0  -      -            
     0.00%  [k] arch_local_irq_enable                 -      -            
     0.00%  [k] freader_fetch                         -      -            
     0.00%  [k] vma_mark_detached                     -      -            
     0.00%  [k] update_sg_lb_stats                    -      -            
     0.00%  [k] file_close_fd                         -      -            
     0.00%  [k] free_pages_and_swap_cache             -      -            
     0.00%  [k] 0x0000000000004128                    -      -            
     0.00%  [k] folios_put_refs                       -      -            
     0.00%  [k] 0x0000000000003f04                    -      -            
     0.00%  [k] 0x0000000000004138                    -      -            
     0.00%  [k] 0x00000000000040f8                    -      -            
     0.00%  [k] 0x0000000000003ad8                    -      -            
     0.00%  [k] 0x00000000000034e4                    -      -            
     0.00%  [k] 0x0000000000003f4c                    -      -            
     0.00%  [k] 0x0000000000003b5c                    -      -            
     0.00%  [k] 0x00000000000059e8                    -      -            
     0.00%  [k] 0x0000000000003348                    -      -            
     0.00%  [k] 0x00000000000008b0                    -      -            
     0.00%  [k] 0x00000000000041a4                    -      -            
     0.00%  [k] 0x0000000000004448                    -      -            
     0.00%  [k] 0x0000000000003368                    -      -            
     0.00%  [k] 0x0000000000003de0                    -      -            
     0.00%  [k] 0x0000000000003f2c                    -      -            
     0.00%  [k] check_missing_comp_in_tx_queue        -      -            
     0.00%  [k] 0x00000000000033c8                    -      -            
     0.00%  [k] 0x00000000000034ac                    -      -            
     0.00%  [k] 0x0000000000003e28                    -      -            
     0.00%  [k] 0x0000000000003e9c                    -      -            
     0.00%  [k] 0x0000000000003b28                    -      -            
     0.00%  [k] 0x0000000000003564                    -      -            
     0.00%  [k] 0x0000000000001390                    -      -            
     0.00%  [k] 0x000000000000131c                    -      -            
     0.00%  [k] widen_string                          -      -            
     0.00%  [k] 0x0000000000001310                    -      -            
     0.00%  [k] 0x0000000000003498                    -      -            
     0.00%  [k] handle_softirqs                       -      -            
     0.00%  [k] 0x0000000000003ae0                    -      -            
     0.00%  [k] 0x0000000000005acc                    -      -            
     0.00%  [k] 0x0000000000004368                    -      -            
     0.00%  [k] 0x0000000000001370                    -      -            
     0.00%  [k] 0x0000000000003c90                    -      -            
     0.00%  [k] 0x00000000000008e8                    -      -            
     0.00%  [k] 0x0000000000003bb8                    -      -            
     0.00%  [k] 0x0000000000003e50                    -      -            
     0.00%  [k] 0x000000000000417c                    -      -            
     0.00%  [k] 0x0000000000003e48                    -      -            
     0.00%  [k] 0x000000000000598c                    -      -            
     0.00%  [k] 0x0000000000005a04                    -      -            
     0.00%  [k] 0x0000000000004118                    -      -            
     0.00%  [k] 0x00000000000008b8                    -      -            
     0.00%  [k] 0x0000000000003668                    -      -            
     0.00%  [k] 0x0000000000001384                    -      -            
     0.00%  [k] 0x00000000000041ac                    -      -            
     0.00%  [k] 0x00000000000008f0                    -      -            
     0.00%  [k] 0x00000000000040ac                    -      -            
     0.00%  [k] 0x00000000000008bc                    -      -            
     0.00%  [k] 0x0000000000003b44                    -      -            
     0.00%  [k] 0x000000000000366c                    -      -            
     0.00%  [k] 0x00000000000035ac                    -      -            
     0.00%  [k] 0x0000000000003b40                    -      -            
     0.00%  [k] 0x00000000000012f0                    -      -            
     0.00%  [k] 0x0000000000003570                    -      -            
     0.00%  [k] 0x00000000000008dc                    -      -            
     0.00%  [k] 0x0000000000003e68                    -      -            
     0.00%  [k] 0x000000000000369c                    -      -            
     0.00%  [k] 0x000000000000445c                    -      -            
     0.00%  [k] 0x0000000000003f1c                    -      -            
     0.00%  [k] 0x000000000000357c                    -      -            
     0.00%  [k] 0x000000000000436c                    -      -            
     0.00%  [k] 0x00000000000033fc                    -      -            
     0.00%  [k] 0x00000000000033b0                    -      -            
     0.00%  [k] 0x0000000000003b4c                    -      -            
     0.00%  [k] 0x0000000000003e60                    -      -            
     0.00%  [k] 0x0000000000001300                    -      -            
     0.00%  [k] 0x00000000000012ec                    -      -            
     0.00%  [k] 0x00000000000040cc                    -      -            
     0.00%  [k] 0x00000000000034a8                    -      -            
     0.00%  [k] 0x0000000000003400                    -      -            
     0.00%  [k] 0x0000000000003ba8                    -      -            
     0.00%  [k] 0x0000000000003584                    -      -            
     0.00%  [k] 0x0000000000003ba0                    -      -            
     0.00%  [k] 0x0000000000004104                    -      -            
     0.00%  [k] 0x0000000000003b20                    -      -            
     0.00%  [k] 0x00000000000033f0                    -      -            
     0.00%  [k] 0x0000000000003ac4                    -      -            
     0.00%  [k] 0x0000000000003e94                    -      -            
     0.00%  [k] 0x0000000000004194                    -      -            
     0.00%  [k] 0x0000000000003f3c                    -      -            
     0.00%  [k] 0x0000000000003424                    -      -            
     0.00%  [k] 0x0000000000003314                    -      -            
     0.00%  [k] 0x0000000000005948                    -      -            
     0.00%  [k] 0x000000000000333c                    -      -            
     0.00%  [k] 0x0000000000004180                    -      -            
     0.00%  [k] 0x000000000000412c                    -      -            
     0.00%  [k] 0x0000000000003bd0                    -      -            
     0.00%  [k] 0x0000000000003bb4                    -      -            
     0.00%  [k] 0x0000000000003ea8                    -      -            
     0.00%  [k] 0x0000000000005ad4                    -      -            
     0.00%  [k] 0x000000000000351c                    -      -            
     0.00%  [k] 0x0000000000000880                    -      -            
     0.00%  [k] 0x0000000000003f34                    -      -            
     0.00%  [k] 0x0000000000005990                    -      -            
     0.00%  [k] 0x0000000000003f44                    -      -            
     0.00%  [k] 0x0000000000003bd8                    -      -            
     0.00%  [k] 0x0000000000004360                    -      -            
     0.00%  [k] 0x0000000000003e18                    -      -            
     0.00%  [k] 0x00000000000041c4                    -      -            
     0.00%  [k] 0x000000000000411c                    -      -            
     0.00%  [k] 0x00000000000034d8                    -      -            
     0.00%  [k] 0x0000000000003eec                    -      -            
     0.00%  [k] 0x0000000000003bd4                    -      -            
     0.00%  [k] 0x0000000000003b64                    -      -            
     0.00%  [k] 0x00000000000041d4                    -      -            
     0.00%  [k] 0x00000000000040d0                    -      -            
     0.00%  [k] 0x0000000000003ab8                    -      -            
     0.00%  [k] 0x0000000000003388                    -      -            
     0.00%  [k] 0x0000000000000834                    -      -            
     0.00%  [k] 0x0000000000003b70                    -      -            
     0.00%  [k] 0x00000000000034d4                    -      -            
     0.00%  [k] 0x0000000000001398                    -      -            
     0.00%  [k] 0x0000000000003eac                    -      -            
     0.00%  [k] 0x0000000000003e80                    -      -            
     0.00%  [k] 0x000000000000085c                    -      -            
     0.00%  [k] 0x0000000000003bcc                    -      -            
     0.00%  [k] 0x000000000000341c                    -      -            
     0.00%  [k] 0x0000000000003b30                    -      -            
     0.00%  [k] 0x000000000000349c                    -      -            
     0.00%  [k] 0x0000000000003ee8                    -      -            
     0.00%  [k] 0x0000000000004440                    -      -            
     0.00%  [k] 0x0000000000003634                    -      -            
     0.00%  [k] 0x0000000000004184                    -      -            
     0.00%  [k] 0x00000000000040c0                    -      -            
     0.00%  [k] 0x00000000000041a0                    -      -            
     0.00%  [k] 0x0000000000003518                    -      -            
     0.00%  [k] 0x0000000000003304                    -      -            
     0.00%  [k] 0x0000000000003328                    -      -            
     0.00%  [k] 0x0000000000003320                    -      -            
     0.00%  [k] 0x0000000000004134                    -      -            
     0.00%  [k] 0x000000000000359c                    -      -            
     0.00%  [k] 0x0000000000003408                    -      -            
     0.00%  [k] strncpy_from_user                     -      -            
     0.00%  [k] 0x0000000000003abc                    -      -            
     0.00%  [k] 0x0000000000003e0c                    -      -            
     0.00%  [k] 0x0000000000003b9c                    -      -            
     0.00%  [k] 0x0000000000003428                    -      -            
     0.00%  [k] 0x00000000000036b0                    -      -            
     0.00%  [k] 0x0000000000005988                    -      -            
     0.00%  [k] 0x0000000000003e34                    -      -            
     0.00%  [k] 0x0000000000003e70                    -      -            
     0.00%  [k] 0x0000000000003644                    -      -            
     0.00%  [k] 0x0000000000003658                    -      -            
     0.00%  [k] 0x000000000000089c                    -      -            
     0.00%  [k] 0x0000000000003f50                    -      -            
     0.00%  [k] 0x0000000000003dc0                    -      -            
     0.00%  [k] 0x00000000000040bc                    -      -            
     0.00%  [k] mas_wr_node_store                     -      -            
     0.00%  [k] rcu_cblist_dequeue                    -      -            
     0.00%  [k] memcg_rstat_updated.part.0            -      -            
     0.00%  [k] alloc_anon_folio                      -      -            
     0.00%  [k] __percpu_counter_sum                  -      -            
     0.00%  [k] folio_batch_move_lru                  -      -            
     0.00%  [k] uaccess_ttbr0_enable.isra.0           -      -            
     0.00%  [k] task_work_add                         -      -            
     0.00%  [k] __fput                                -      -            
     0.00%  [k] queue_work_on                         -      -            
     0.00%  [k] mas_next_node                         -      -            
     0.00%  [k] zone_statistics                       -      -            
     0.00%  [k] __get_unmapped_area                   -      -            
     0.00%  [k] search_cmp_ftr_reg                    -      -            
     0.00%  [k] finish_task_switch.isra.0             -      -            
     0.00%  [k] __vma_start_write                     -      -            
     0.00%  [k] copy_from_kernel_nofault_allowed      -      -            
     0.00%  [k] rwsem_spin_on_owner                   -      -            
     0.00%  [k] folio_add_file_rmap_ptes              -      -            
     0.00%  [k] mas_data_end                          -      -            
     0.00%  [k] may_expand_vm                         -      -            
     0.00%  [k] 0x0000000000003414                    -      -            
     0.00%  [k] ena_get_stats                         -      -            
     0.00%  [.] __libc_fork                           -      -            
     0.00%  [k] unlink_anon_vmas                      -      -            
     0.00%  [k] check_heap_object                     -      -            
     0.00%  [k] rb_erase                              -      -            
     0.00%  [k] free_percpu.part.0                    -      -            
     0.00%  [k] __pi_clear_page                       -      -            
     0.00%  [k] 0x000000000000350c                    -      -            
     0.00%  [.] dispose_word_desc                     -      -            
     0.00%  [k] __tlb_remove_table_free               -      -            
     0.00%  [k] pick_link                             -      -            
     0.00%  [k] ptep_clear_flush                      -      -            
     0.00%  [k] folio_unlock                          -      -            
     0.00%  [k] do_wp_page                            -      -            
     0.00%  [k] contpte_set_ptes                      -      -            
     0.00%  [k] memcg1_commit_charge                  -      -            
     0.00%  [k] xas_load                              -      -            
     0.00%  [k] kfree                                 -      -            
     0.00%  [k] mm_init_cid                           -      -            
     0.00%  [k] __rseq_handle_notify_resume           -      -            
     0.00%  [k] inode_to_bdi                          -      -            
     0.00%  [k] rmqueue.isra.0                        -      -            
     0.00%  [k] do_translation_fault                  -      -            
     0.00%  [k] __memcg_slab_free_hook                -      -            
     0.00%  [k] cpuidle_idle_call                     -      -            
     0.00%  [k] wp_page_reuse                         -      -            
     0.00%  [k] mas_walk                              -      -            
     0.00%  [k] find_unlink_vmap_area                 -      -            
     0.00%  [k] test_and_set_bit_lock                 -      -            
     0.00%  [k] security_file_alloc                   -      -            
     0.00%  [k] rseq_get_rseq_cs.isra.0               -      -            
     0.00%  [k] free_pcppages_bulk                    -      -            
     0.00%  [k] do_read_fault                         -      -            
     0.00%  [k] fdget                                 -      -            
     0.00%  [k] __pi_copy_page                        -      -            
     0.00%  [k] percpu_counter_add_batch              -      -            
     0.00%  [k] xas_start                             -      -            
     0.00%  [k] current_objcg_update                  -      -            
     0.00%  [k] policy_nodemask                       -      -            
     0.00%  [k] __kmalloc_node_noprof                 -      -            
     0.00%  [k] vma_start_read                        -      -            
     0.00%  [k] rseq_get_rseq_cs_ptr_val              -      -            
     0.00%  [k] hook_file_ioctl_common                -      -            
     0.00%  [k] task_mm_cid_work                      -      -            
     0.00%  [k] cpuset_cpus_allowed                   -      -            
     0.00%  [k] el0_svc                               -      -            
     0.00%  [k] __bitmap_subset                       -      -            
     0.00%  [k] obj_cgroup_uncharge_pages             -      -            
     0.00%  [k] uaccess_ttbr0_enable.isra.0           -      -            
     0.00%  [k] get_freepointer                       -      -            
     0.00%  [k] run_timer_base                        -      -            
