tag,tree,transport,mode,workers,per_worker_qd,aggregate_qd,fua,variant,cohort,observed_cohorts,cohort_complete,repeat,ops_per_sec,latency_avg_us,latency_p50_us,latency_p95_us,latency_p99_us,cpu_ns_per_op,reported_completion,completion_semantic,source
gate-current-tcp-rw-w1-qd1,current,tcp,rw,1,1,1,false,gate,1,1,true,3,52253,19.083,5.0,44.0,68.0,19138.2,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-rw-w1-qd1/results.log
gate-current-tcp-rw-w1-qd1,current,tcp,rw,1,1,1,false,gate,1,1,true,4,52255,19.082,5.0,44.0,68.0,19137.3,ordinary-device-ack,mixed-remote-reads-and-early-local-writes,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-rw-w1-qd1/results.log
gate-current-tcp-write-w1-qd1,current,tcp,write,1,1,1,false,gate,1,1,true,1,76850,12.959,5.0,47.0,64.0,13012.5,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-write-w1-qd1/results.log
gate-current-tcp-write-w1-qd1,current,tcp,write,1,1,1,false,gate,1,1,true,2,76829,12.963,5.0,47.0,64.0,13016.1,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-write-w1-qd1/results.log
gate-current-tcp-write-w1-qd1,current,tcp,write,1,1,1,false,gate,1,1,true,3,76998,12.934,5.0,47.0,64.0,12987.6,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-write-w1-qd1/results.log
gate-current-tcp-write-w1-qd1,current,tcp,write,1,1,1,false,gate,1,1,true,4,77031,12.929,5.0,47.0,64.0,12981.9,ordinary-device-ack,early-local-dirty-lease-ack,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-write-w1-qd1/results.log
gate-current-tcp-write-w1-qd1-fua,current,tcp,write,1,1,1,true,gate-fua,1,1,true,1,17422,57.345,57.0,61.0,71.0,57399.7,per-write-fua-dsync,remote-fua-drain,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-write-w1-qd1-fua/results.log
gate-current-tcp-write-w1-qd1-fua,current,tcp,write,1,1,1,true,gate-fua,1,1,true,2,17465,57.202,57.0,61.0,71.0,57257.4,per-write-fua-dsync,remote-fua-drain,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-write-w1-qd1-fua/results.log
gate-current-tcp-write-w1-qd1-fua,current,tcp,write,1,1,1,true,gate-fua,1,1,true,3,17425,57.334,57.0,61.0,71.0,57388.7,per-write-fua-dsync,remote-fua-drain,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-write-w1-qd1-fua/results.log
gate-current-tcp-write-w1-qd1-fua,current,tcp,write,1,1,1,true,gate-fua,1,1,true,4,17468,57.195,57.0,61.0,71.0,57249.7,per-write-fua-dsync,remote-fua-drain,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/client/gate-current-tcp-write-w1-qd1-fua/results.log
