zcnblk0-batch64-window1-randwrite: (g=0): rw=randwrite, bs=(R) 4096B-4096B, (W) 4096B-4096B, (T) 4096B-4096B, ioengine=io_uring, iodepth=64
...
fio-3.39
Starting 8 processes

fio: terminating on signal 15
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=433971200, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=404058112, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=451887104, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=470482944, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=383213568, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=523288576, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=266059776, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=156807168, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=429649920, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=295911424, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=140836864, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=428625920, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=351444992, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=489328640, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=375734272, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=349650944, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=306819072, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=416391168, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=50941952, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=64245760, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=409313280, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=271253504, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=392257536, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=397606912, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=501178368, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=78147584, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=52068352, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=166502400, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=91983872, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=522276864, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=465686528, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=161423360, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=459579392, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=65560576, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=501710848, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=255037440, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=196681728, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=60784640, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=114827264, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=468570112, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=250785792, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=191463424, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=266129408, buflen=4096
fio: pid=2929771, err=5/file:io_u.c:1976, func=io_u error, error=Input/output error
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=112185344, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=512696320, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=192737280, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=26697728, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=457478144, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=143933440, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=40755200, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=286478336, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=421752832, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=312197120, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=347779072, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=261890048, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=262250496, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=403599360, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=145035264, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=530583552, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=102322176, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=392720384, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=443465728, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=146526208, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=260251648, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=458612736, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=328937472, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=156712960, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=205139968, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=177651712, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=392896512, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=31469568, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=114618368, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=271208448, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=485593088, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=458477568, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=396705792, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=534200320, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=89858048, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=186019840, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=466903040, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=192933888, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=95084544, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=100417536, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=398987264, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=365641728, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=234967040, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=531288064, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=187666432, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=327622656, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=204898304, buflen=4096
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=75005952, buflen=4096
fio: pid=2929769, err=5/file:io_u.c:1976, func=io_u error, error=Input/output error
fio: pid=2929768, err=5/file:io_u.c:1976, func=io_u error, error=Input/output error
fio: io_u error on file /dev/zcnblk0: Input/output error: write offset=289734656, buflen=4096
