[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 314: was 0x00000000fef08e30
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][trace] Restored java.lang.Comparable archived mirror 0x00000000fef08e30
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 743: was 0x00000000fef146c8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][trace] Restored [Ljava.lang.Comparable; archived mirror 0x00000000fef146c8
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 96: was 0x00000000fef02998
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][trace] Restored java.lang.CharSequence archived mirror 0x00000000fef02998
[2026-08-08T11:30:47.710-0400][0.119s][2871666][2871784][debug] Clearing root 317: was 0x00000000fef08f80
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.CharSequence; archived mirror 0x00000000fef08f80
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 315: was 0x00000000fef08ea0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.constant.Constable archived mirror 0x00000000fef08ea0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 734: was 0x00000000fef142d8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.constant.Constable; archived mirror 0x00000000fef142d8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 316: was 0x00000000fef08f10
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.constant.ConstantDesc archived mirror 0x00000000fef08f10
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 748: was 0x00000000fef148f8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.constant.ConstantDesc; archived mirror 0x00000000fef148f8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 25: was 0x00000000fef00cd0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.String archived mirror 0x00000000fef00cd0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 246: was 0x00000000fef06b00
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.String; archived mirror 0x00000000fef06b00
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 372: was 0x00000000fef0a8a8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.reflect.AnnotatedElement archived mirror 0x00000000fef0a8a8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 737: was 0x00000000fef14428
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.reflect.AnnotatedElement; archived mirror 0x00000000fef14428
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 362: was 0x00000000fef0a418
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.reflect.GenericDeclaration archived mirror 0x00000000fef0a418
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 738: was 0x00000000fef14498
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.reflect.GenericDeclaration; archived mirror 0x00000000fef14498
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 371: was 0x00000000fef0a838
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.reflect.Type archived mirror 0x00000000fef0a838
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 375: was 0x00000000fef0a9d0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.reflect.Type; archived mirror 0x00000000fef0a9d0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 378: was 0x00000000fef0aae8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.invoke.TypeDescriptor archived mirror 0x00000000fef0aae8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 735: was 0x00000000fef14348
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.invoke.TypeDescriptor; archived mirror 0x00000000fef14348
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 374: was 0x00000000fef0a960
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.invoke.TypeDescriptor$OfField archived mirror 0x00000000fef0a960
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 736: was 0x00000000fef143b8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.invoke.TypeDescriptor$OfField; archived mirror 0x00000000fef143b8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 19: was 0x00000000fef00958
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.Class archived mirror 0x00000000fef00958
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 244: was 0x00000000fef06a20
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.Class; archived mirror 0x00000000fef06a20
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 35: was 0x00000000fef010a8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.Cloneable archived mirror 0x00000000fef010a8
